instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,spread_pct,open_interest
BTC-27FEB26-105000-C,call,27FEB26,105000.0,0.23091,93463.33,0.04084394,3817.4106427202005,44.02,0.04,0.041,0.0245,340.7
BTC-27FEB26-105000-P,put,27FEB26,105000.0,0.23091,93463.33,0.16427937,15354.096970502102,44.02,0.1625,0.1665,0.0243,0.1
BTC-27FEB26-110000-C,call,27FEB26,110000.0,0.23091,93463.33,0.02860279,2673.3120006907,43.78,0.028,0.0285,0.0175,679.6
BTC-27FEB26-110000-P,put,27FEB26,110000.0,0.23091,93463.33,0.20553516,19210.000485682798,43.78,0.2025,0.2095,0.0341,25.0
BTC-27FEB26-120000-C,call,27FEB26,120000.0,0.23091,93463.33,0.01402942,1311.2363111686002,44.13,0.0135,0.014,0.0356,274.6
BTC-27FEB26-130000-C,call,27FEB26,130000.0,0.23091,93463.33,0.00671782,627.8698275406,44.57,0.0065,0.007,0.0744,382.4
BTC-27MAR26-20000-C,call,27MAR26,20000.0,0.30763,93840.15,0.78712268,73863.71035960199,102.28,0.786,0.788,0.0025,17.9
BTC-27MAR26-30000-C,call,27MAR26,30000.0,0.30763,93841.05,0.68106628,63911.974834794004,86.23,0.68,0.682,0.0029,38.1
BTC-27MAR26-30000-P,put,27MAR26,30000.0,0.30763,93841.05,0.0007529,70.652926545,86.23,0.0007,0.0008,0.1328,1307.5
BTC-27MAR26-40000-C,call,27MAR26,40000.0,0.30763,93841.05,0.57575011,54028.9948600155,75.1,0.5745,0.5765,0.0035,8.7
BTC-27MAR26-40000-P,put,27MAR26,40000.0,0.30763,93840.15,0.00199894,187.58082944099996,75.1,0.0018,0.0021,0.1501,302.7
